date,scfi_composite,europe_usd_teu,mediterranean_usd_teu,us_west_usd_teu,us_east_usd_teu,source,source_url,data_quality_level,note
2025-11-28,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2025-12-05,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2025-12-12,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2025-12-19,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2025-12-26,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-01-02,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-01-09,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-01-16,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-01-23,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-01-30,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-02-06,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-02-13,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-02-20,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-02-27,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-03-06,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-03-13,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-03-20,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-03-27,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-04-03,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-04-10,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-04-17,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-04-24,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-05-01,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-05-08,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-05-15,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
2026-05-22,,,,,,上海航运交易所单期查询,https://www.sse.net.cn/index/singleIndex?indexType=scfi,unknown,单期公开查询；官网单期页分航线可能为空，仅综合指数可用
