date,SCFI综合指数,地中海航线,欧洲航线,美东航线,美西航线,SCFI综合指数_wow_pct,SCFI综合指数_4w_ma,欧洲航线_wow_pct,欧洲航线_4w_ma,地中海航线_wow_pct,地中海航线_4w_ma,美西航线_wow_pct,美西航线_4w_ma,美东航线_wow_pct,美东航线_4w_ma,美东-美西价差_USD_FEU,地中海-欧洲价差_USD_TEU,跨太平洋均价_USD_FEU,亚欧均价_USD_TEU,natural_week_start,event_count,event_types,carriers,announced_amount_sum,event_flag
2025-11-28,1403.13,2232.0,1404.0,2428.0,1632.0,,,,,,,,,,,796.0,828.0,2030.0,1818.0,2025-11-24,0,,,,False
2025-12-05,1397.63,2300.0,1400.0,2315.0,1550.0,-0.39198078581457185,1400.38,-0.2849002849002802,1402.0,3.046594982078843,2266.0,-5.024509803921573,1591.0,-4.6540362438220795,2371.5,765.0,900.0,1932.5,1850.0,2025-12-01,0,,,,False
2025-12-12,1475.275,2566.5,1466.5,2580.5,1771.0,5.555476055894615,1425.345,4.75000000000001,1423.5,11.586956521739133,2366.1666666666665,14.258064516129032,1651.0,11.468682505399563,2441.1666666666665,809.5,1100.0,2175.75,2016.5,2025-12-08,0,,,,False
2025-12-19,1552.92,2833.0,1533.0,2846.0,1992.0,5.263086543186857,1457.23875,4.534606205250591,1450.875,10.383791155269817,2482.875,12.478825522303794,1736.25,10.288703739585348,2542.375,854.0,1300.0,2419.0,2183.0,2025-12-15,0,,,,False
2025-12-26,1656.32,3143.0,1690.0,3033.0,2188.0,6.658424130025997,1520.53625,10.241356816699287,1522.375,10.942463819272863,2710.625,9.839357429718865,1875.25,6.57062543921294,2693.625,845.0,1453.0,2610.5,2416.5,2025-12-22,0,,,,False
2026-01-02,1588.406,2999.2,1666.25,2998.75,2162.0,-4.1002946290571884,1568.23025,-1.4053254437869866,1588.9375,-4.575246579700931,2885.425,-1.188299817184646,2028.25,-1.129244971974941,2864.5625,836.75,1332.9499999999998,2580.375,2332.725,2025-12-29,0,,,,False
2026-01-09,1520.492,2855.4,1642.5,2964.5,2136.0,-4.2756071180793835,1579.5345000000002,-1.4253563390847712,1632.9375,-4.79461189650573,2957.65,-1.2025901942645745,2119.5,-1.1421425593997503,2960.5625,828.5,1212.9,2550.25,2248.95,2026-01-05,0,,,,False
2026-01-16,1452.578,2711.6,1618.75,2930.25,2110.0,-4.466580554189036,1554.449,-1.4459665144596623,1654.375,-5.036072003922398,2927.3,-1.217228464419473,2149.0,-1.1553381683251818,2981.625,820.25,1092.85,2520.125,2165.175,2026-01-12,0,,,,False
2026-01-23,1384.664,2567.8,1595.0,2896.0,2084.0,-4.675411578586486,1486.5349999999999,-1.4671814671814665,1630.625,-5.3031420563504845,2783.5,-1.2322274881516604,2123.0,-1.168842248954871,2947.375,812.0,972.8000000000002,2490.0,2081.4,2026-01-19,0,,,,False
2026-01-30,1316.75,2424.0,1418.0,2605.0,1867.0,-4.904727789557606,1418.6209999999999,-11.097178683385579,1568.5625,-5.600124620297542,2639.7,-10.412667946257192,2049.25,-10.048342541436462,2848.9375,738.0,1006.0,2236.0,1921.0,2026-01-26,0,,,,False
